LABEL,TEXT
smishing,URGENT This is our 2nd attempt to contact U. Your Â£900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,"who is the murderer, coz the man was murdered on  26th January.. As public holiday ï¿½"
ham,Ãœ mean it's confirmed... I tot they juz say oni... Ok then...
ham,"Dude u knw also telugu..thts gud..k, gud nyt.."
smishing,XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription
spam,	**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270
ham,Dont let studying stress you out. L8r.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Â£1.50 SP:Tyrone
ham,"K I'll head out in a few mins, see you there"
smishing,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,Which channel:-):-):):-).
ham,Oh yeah! And my diet just flew out the window
ham,You intrepid duo you! Have a great time and see you both soon.
ham,"fyi I'm at usf now, swing by the room whenever"
ham,Are you wet right now?
ham,:-( that's not v romantic!
smishing,Win a Â£1000 cash prize or a prize worth Â£5000
ham,Those ducking chinchillas
ham,He remains a bro amongst bros
ham,Yes. Nigh you cant aha.
ham,Okï¿½smart work!!
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,Then what about further plan?
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
smishing,	Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM
ham,I don't know but I'm raping dudes at poker
smishing,	Call FREEPHONE 0800 542 0578 now!
ham,"Jus chillaxin, what up"
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham,K..give back my thanks.
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,Lol or I could just starve and lose a pound by the end of the day.
smishing,"	Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18call 08718728876"
ham,You'd like that wouldn't you? Jerk!
ham,Serious? What like proper tongued her
ham,on hen night. Going with a swing
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net
ham,Super da:)good replacement for murali
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,"Hi, my love! How goes that day? this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
ham,I know you mood off today
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic "
ham,When u wana see it then
smishing,"Urgent Message for CIBC Account Holder, Kindly login to confirm your login information Login to our secure server to check your information http://cibc.mobileupdate.granpianostudio.com/cibcfullz/Internet Support"
ham,Will you be here for food
ham,No let me do the math. Your not good at it.
ham,No no:)this is kallis home ground.amla home town is durban:)
ham,"As in missionary hook up, doggy hook up, standing...|"
ham,"HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X"
ham,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
smishing,todays vodafone numbers ending with 0089(my last four digits) are selected to received a Â£350 award. If your number matches please call 09063442151 to claim your Â£350 award
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
ham,Audrie lousy autocorrect
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,Was it something u ate?
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,What time you thinkin of goin?
ham,Want to finally have lunch today?
smishing,We have identified some unusual activity on your online banking. Please log in via the secure link http:owly/nPyL308KyWG to avoid account suspension
ham,Thanx but my birthday is over already.
ham,The hair cream has not been shipped.
ham,Hanging out with my brother and his family
ham,Where are the garage keys? They aren't on the bookshelf
ham,What Today-..sunday is holiday..so no work..
ham,I'm ok. Will do my part tomorrow
ham,Yes just finished watching days of our lives. I love it.
ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
ham,She's borderline but yeah whatever.
ham,He needs to stop going to bed and make with the  dealing
ham,Have you always been saying welp?
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,Yeah that's the impression I got
spam,	U are subscribed to the best Mobile Content Service in the UK for Â£3 per 10 days until you send STOP to 82324. Helpline 08706091795
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,I reach home safe n sound liao...
smishing,	Promotion Number: 8714714 - UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?
smishing,"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 8927307655 Now! "
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
ham,I'm in a movie. Call me 4 wat?
ham,Nope... C Ã¼ then...
smishing,"In the Open Lucky Draw Contest And You Are The Winner 0f Tata Saafari (12,60000). Contact-997330199 -2294871295. More Information https://bit.ly/32ZwcQ5"
ham,I will be gentle baby! Soon you will be taking all ..
ham,Hmmm:)how many players selected?
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Its normally hot mail. Com you see!
ham,Dear where you. Call me
ham,Okie..good news!!
ham,"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-"
ham,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,I WILL CAL YOU SIR. In meeting
ham,"Cool, I'll text you when I'm on the way"
ham,"Solve d Case : A Man Was Found Murdered On  16 April,   AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer..who is it?"
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham,Hi darlin did youPhone me? Im atHome if youwanna chat.
ham,I'm also came to room.
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham,;-) ok. I feel like john lennon.
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
ham,Are you comingdown later?
ham,"Ya tel, wats ur problem.."
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
ham,Lol. Well quality aint bad at all so i aint complaining
ham,"Oops I did have it,  &lt;#&gt; ?"
ham,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
ham,Dad went out oredi...
ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
ham,Networking technical support associate.
ham,I like dis sweater fr mango but no more my size already so irritating.
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+
ham,.Please charge my mobile when you get up in morning.
ham,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,Lolnice. I went from a fish to ..water.?
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
ham,Hope you are ENJOYING a great day.
smishing,"complimentary 4 STAR Ibiza Holiday or Â£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
ham,Its sarcasm.. .nt scarcasim
ham,Si si. I think ill go make those oreo truffles.
ham,U 2.
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,"Alright, see you in a bit"
ham,O we cant see if we can join denis and mina? Or does denis want alone time
ham,"Y cant u try new invention to fly..i'm not joking.,"
smishing,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or Â£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
ham,"No, but you told me you were going, before you got drunk!"
ham,I dont understand your message.
ham,Yup... How Ã¼ noe leh...
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
ham,Already am squatting is the new way of walking
ham,"Sorry, I'll call laterï¿½buzy"
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
smishing,	A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
smishing,You have been randomly selected for a BestBuy gift. Get your $1000 gift card at www.bestbuy.com.your-a-winner.net/?id-ichrfcycylck
ham,"That's what I love to hear :V see you sundayish, then"
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
smishing,"As a valued customer, I am pleased to advise you that following recent review of your Mobile No. you are awarded with a Rs.7,00,000 Bonus Prize, call 8927307655"
ham,These won't do. Have to move on to morphine
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,I can do that! I want to please you both inside and outside the bedroom...
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
ham,They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?
spam,	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
smishing,	You have 1 new voicemail. Please call 08719181503
ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
ham,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u
ham,Ha ha ha good joke. Girls are situation seekers.
ham,At 4. Let's go to bill millers
ham,We'll join the  &lt;#&gt;  bus
smishing,"To cancel this order you should visit http/aetacms.com/.cas/auo.html/redirect-aopis.itï¿½to review your details. if you need additional help, contact Apple Support."
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,"SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP..."
smishing,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
ham,Sac needs to carry on:)
ham,I uploaded mine to Facebook
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
ham,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !"
ham,I'm vivek:)i got call from your number.
ham,I havent add Ã¼ yet right..
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
smishing,"	Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
smishing,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm
ham,"HELLOGORGEOUS, HOWS U? MY FONE WAS ON CHARGE LST NITW WEN U TEXD ME. HOPEU AD A NICE WKEND AS IM SURE U DID LOOKIN 4WARD 2 C-IN U 2MRW LUV JAZ"
ham,You still at the game?
ham,It certainly puts things into perspective when something like this happens
ham,Its just the effect of irritation. Just ignore it
spam,"Plots available at greater noida near pari chowk, regn ok. @ 2600/-per gauge.booking  starts with 30000/-onwards or full down.instalments also.call 9213241451."
ham,I accidentally deleted the message. Resend please.
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
ham,U can call now...
ham,I like to talk pa but am not able to. I dont know y.
ham,Oi when you gonna ring
ham,Kent vale lor... Ãœ wait 4 me there ar?
ham,Thanx 4 e brownie it's v nice...
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050003092 from land line. Claim C52. Valid 12hrs only
ham,Ok... C ya...
ham,"Ever green  ""A Person Who Irritates u Always Is the one Who Loves u Vry Much!!"
ham,As per your request 'Maangalyam (Thirupathe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,He  chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
ham,K.k.this month kotees birthday know?
ham,That is wondar full flim.
spam,88800 and 89034 are premium phone services call 08718711108
ham,Why nothing. Ok anyway give me treat
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,Oh yah... We never cancel leh... Haha
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,Mum not going robinson already.
ham,What's a feathery bowa? Is that something guys have that I don't know about?
ham,i see. When we finish we have loads of loans to pay
ham,Lol that's different. I don't go trying to find every real life photo you ever took.
smishing,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call  on 08002986905
ham,I will come to ur home now
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,"Sorry da thangam, very very sorry i am held up with prasad."
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
ham,I'm in class. Did you get my text.
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
ham,Sorry de i went to shop.
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
ham,"Night night, see you tomorrow"
ham,Hey i will be late ah... Meet you at 945+
ham,Then she buying today? Ãœ no need to c meh...
smishing,"	Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,But pls dont play in others life.
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
ham,"Haha good to hear, I'm officially paid and on the market for an 8th"
ham,Huh? 6 also cannot? Then only how many mistakes?
ham,Where is it. Is there any opening for mca.
ham,I am not having her number sir
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,I'm really not up to it still tonight babe
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
ham,"Sorry, I'll call later..hav eto go.."
smishing,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,But if she.s drinkin i'm ok.
ham,Busy here. Trying to finish for new year. I am looking forward to finally meeting you...
ham,Convey my regards to himï¿½all the best..
ham,"Haha awesome, be there in a minute"
ham,What is the plural of the noun research?
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes and fills those gaps by holding your hand with CARE..!"
ham,Exactly. Anyways how far. Is jide her to study or just visiting
ham,So what do you guys do.
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
smishing,	Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
smishing,You are a winner U have been specially selected 2 receive Â£2000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
ham,New car and house for my parents.:)i have only new job in hand:)
ham,Where in abj are you serving. Are you staying with dad or alone.
ham,Shuhui has bought ron's present it's a swatch watch...
smishing,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
smishing,"URGENT! Dear FL1PKART Customer, We are trying to contact you. Last weekends draw shows that you w0n a Rs.2,00,000 prize GUARANTEED. Call 6299257179. Claim Code FLIP02. Valid 12hrs only. "
ham,:)
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,"Haha awesome, omw back now then"
ham,"Please protect yourself from e-threats. YES bank never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody."
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
spam,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
ham,"Not sure yet, still trying to get a hold of him"
ham,Hey... Why dont we just go watch x men and have lunch... Haha
spam,"Noida Commercial Wave Sec-18  Silver @ 11500/- PSF  Gold @ 12500/- PSF,  Logix Sec-124 @ 8200/- PSF For Best Deal Call 9711131802 /3"
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
ham,Long after I quit. I get on only like 5 minutes a day as it is.
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
spam,	lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,WHAT TIME U WRKIN?
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,1's finish meeting call me.
ham,Cool. So how come you havent been wined and dined before?
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
ham,Is there any training tomorrow?
ham,I am going to try for 2 months ha ha only joking
smishing,	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,Was the actual exam harder than NBME
ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
ham,great loxahatchee xmas tree burning update: you can totally see stars here
ham,I am late. I will be there by 3
ham,ARR birthday today:) i wish him to get more oscar.
ham,i am going to bed now prin
ham,Small problem in auction:)punj now asking tiwary
ham,Good. Good job. I like entrepreneurs
ham,"Haha yeah I see that now, be there in a sec"
ham,S...i will take mokka players only:)
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks."
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,"Yo my trip got postponed, you still stocked up?"
ham,Wake me up at  &lt;#&gt;  am morning:)
ham,Please tell me you have some of that special stock you were talking about
ham,Me too! Have a lovely night xxx
ham,"Kate jackson rec center before 7ish, right?"
